"","brighton-amp-hove-albion","1237"
"1","mathew-ryan",128969
"2","christian-walton",208379
"3","jason-steele",73564
"4","robert-sanchez",403151
"5","lewis-dunk",148153
"6","adam-webster",212847
"7","joel-veltman",111195
"8","ben-white",335721
"9","dan-burn",134270
"10","jan-paul-van-hecke",576314
"11","bernardo",364258
"12","tariq-lamptey",504148
"13","tudor-baluta",433976
"14","davy-propper",79027
"15","yves-bissouma",410425
"16","dale-stephens",49755
"17","jayson-molumby",357656
"18","max-sanders",411495
"19","solly-march",209212
"20","alexis-mac-allister",534033
"21","pascal-gross",82873
"22","adam-lallana",43530
"23","steven-alzate",476237
"24","ulrick-eneme-ella",484994
"25","leandro-trossard",144028
"26","jose-izquierdo",147094
"27","alireza-jahanbakhsh",213268
"28","neal-maupay",217115
"29","aaron-connolly",434207
"30","florin-andone",177065
"31","viktor-gyokeres",325443
