"","fc-everton","29"
"1","jordan-pickford",130164
"2","jonas-lossl",48870
"3","joao-virginia",329813
"4","michael-keane",118534
"5","yerry-mina",289446
"6","mason-holgate",348623
"7","jarrad-branthwaite",661053
"8","matthew-pennington",220755
"9","lucas-digne",126664
"10","niels-nkounkou",591193
"11","seamus-coleman",68390
"12","jonjoe-kenny",258883
"13","jean-philippe-gbamin",182894
"14","muhamed-besic",93905
"15","allan",126422
"16","andre-gomes",221025
"17","abdoulaye-doucoure",127187
"18","tom-davies",314210
"19","fabian-delph",50362
"20","beni-baningime",399369
"21","james-rodriguez",88103
"22","gylfi-sigurdsson",90466
"23","alex-iwobi",242631
"24","bernard",175169
"25","anthony-gordon",503733
"26","yannick-bolasie",75471
"27","theo-walcott",33713
"28","richarlison",378710
"29","moise-kean",364135
"30","dominic-calvert-lewin",306024
"31","cenk-tosun",45671
"32","sandro-ramirez",199369
