"","leicester-city","1003"
"1","kasper-schmeichel",16911
"2","danny-ward",203026
"3","eldin-jakupovic",2857
"4","caglar-soyuncu",320141
"5","jonny-evans",42412
"6","filip-benkovic",293168
"7","wes-morgan",10003
"8","christian-fuchs",6636
"9","luke-thomas",505194
"10","ricardo-pereira",215876
"11","timothy-castagne",262226
"12","james-justin",413220
"13","wilfred-ndidi",274839
"14","hamza-choudhury",341501
"15","nampalys-mendy",111051
"16","daniel-amartey",214056
"17","youri-tielemans",249565
"18","dennis-praet",129588
"19","adrien-silva",56810
"20","matty-james",73522
"21","marc-albrighton",61560
"22","harvey-barnes",398065
"23","james-maddison",294057
"24","demarai-gray",292417
"25","rachid-ghezzal",118287
"26","fousseni-diabate",364861
"27","ayoze-perez",246968
"28","jamie-vardy",197838
"29","kelechi-iheanacho",295330
"30","islam-slimani",174915
