"","manchester-city","281"
"1","ederson",238223
"2","zack-steffen",221624
"3","arijanet-muric",371021
"4","scott-carson",14555
"5","aymeric-laporte",176553
"6","john-stones",186590
"7","nathan-ake",177476
"8","eric-garcia",466794
"9","nicolas-otamendi",54781
"10","philippe-sandler",340460
"11","tosin-adarabioyo",258878
"12","taylor-harwood-bellis",503977
"13","benjamin-mendy",157495
"14","oleksandr-zinchenko",203853
"15","kyle-walker",95424
"16","joao-cancelo",182712
"17","yan-couto",627228
"18","rodri",357565
"19","fernandinho",26267
"20","ilkay-gundogan",53622
"21","phil-foden",406635
"22","kevin-de-bruyne",88755
"23","luka-ilic",429790
"24","raheem-sterling",134425
"25","marlos-moreno",345654
"26","bernardo-silva",241641
"27","riyad-mahrez",171424
"28","ferran-torres",398184
"29","patrick-roberts",225452
"30","gabriel-jesus",363205
"31","sergio-aguero",26399
