"","tottenham-hotspur","148"
"1","hugo-lloris",17965
"2","paulo-gazzaniga",195488
"3","joe-hart",40204
"4","alfie-whiteman",282823
"5","davinson-sanchez",341429
"6","toby-alderweireld",42710
"7","juan-foyth",480763
"8","japhet-tanganga",346478
"9","cameron-carter-vickers",341049
"10","ben-davies",192765
"11","danny-rose",50174
"12","matt-doherty",171679
"13","serge-aurier",127032
"14","eric-dier",175722
"15","tanguy-ndombele",450936
"16","giovani-lo-celso",348795
"17","harry-winks",249126
"18","pierre-emile-hojbjerg",167799
"19","moussa-sissoko",46001
"20","gedson-fernandes",337800
"21","ryan-sessegnon",392775
"22","dele-alli",207929
"23","heung-min-son",91845
"24","steven-bergwijn",284165
"25","lucas-moura",77100
"26","erik-lamela",111630
"27","jack-clarke",559794
"28","harry-kane",132098
